time,i_value,j_value,latitude,longitude,u_west_to_east_wind,v_south_to_north_wind,temprature,relative_humidity,vertical_velocity,pressure,water_vapour,turbulent_kinatic_energy,precipitation_rate,sensible_heat_flux,latent_heat_flux,tracer_concentration
13.7,8,51,33.264,-81.684,-4.84712,1.95978,18.68037,76.88632,45.27708,1012.60309,10.39977,1.74209,282.38803,1.61699,2.39e-11,1
13.6,19,68,33.281,-81.673,-5.83683,2.41864,18.03243,79.82667,-50.4901,1009.51147,10.39109,0.8962,158.70503,3.23943,0.0,0
17.5,16,47,33.26,-81.676,-6.01006,-1.27617,22.41074,56.49598,99.66726,1009.67706,9.70045,1.42262,293.22717,-50.49333,4.56e-11,1
15.2,12,40,33.253,-81.68,-6.22998,1.56209,19.67138,69.07075,-91.8331,1010.64148,9.9709,0.77028,239.22591,34.5138,1.43e-11,1
17.5,9,51,33.264,-81.683,-6.29406,0.31457,22.64483,53.72147,115.056,1011.28333,9.34449,2.39666,613.22656,28.94068,8.85e-12,1
12.9,12,48,33.261,-81.68,-5.24094,1.81018,17.74948,82.7567,5.63881,1011.24445,10.56001,0.96078,163.519,-0.9787,4.9e-11,1
15.6,34,37,33.25,-81.658,-5.25553,1.20597,20.31196,69.21624,76.51208,1009.13599,10.42154,1.21928,276.47006,-5.63309,1.2e-09,1
12.2,20,16,33.229,-81.672,-5.23416,2.65375,17.33791,85.48327,6.9926,1008.81732,10.64881,1.67907,9.17194,36.32728,0.0,0
15.1,17,40,33.253,-81.675,-5.86287,1.98528,19.54611,70.88494,-99.48345,1009.88708,10.15973,0.83747,178.59903,-11.94532,3.2e-10,1
13.2,28,42,33.255,-81.664,-5.95539,2.1062,17.84995,81.47911,-3.36144,1010.39545,10.47343,0.98586,126.67581,3.41623,1.65e-10,1
14.7,11,41,33.254,-81.681,-5.0225,1.48741,19.54453,71.79208,58.42437,1010.82538,10.27876,0.98829,283.22314,-27.90918,1.94e-10,1
12.3,11,45,33.258,-81.681,-5.85789,2.14958,17.3154,85.72996,22.96714,1009.32794,10.65859,0.77038,86.55682,10.77005,2.28e-11,1
18.0,27,45,33.258,-81.665,-5.22555,-1.50097,22.73396,54.02002,45.19831,1010.00122,9.46041,1.08653,422.33939,-2.42862,4.29e-11,1
